# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-13
---
'a'wei 阿魏
'ben'cao'hui'zuan 本草汇纂
'ben'cao'ji'yao 本草集要
'ben'cao'jian'ming'tu'shuo 本草简明图说
'ben'cao'jie'yao 本草节要
'ben'cao'jing 本草经
'ben'cao'jing'du 本草经读
'ben'cao'jing'ji'zhu 本草经集注
'ben'cao'jing'jie 本草经解
'ben'cao'jing'jie'yao 本草经解要
'ben'cao'jing'shu 本草经疏
'ben'cao'jing'shu'ji'yao 本草经疏辑要
'ben'cao'juan 本草隽
'ben'cao'lei'fang 本草类方
'ben'cao'lei'yao 本草类要
'ben'cao'meng'quan 本草蒙筌
'ben'cao'pin'hui'jing'yao 本草品汇精要
'ben'cao'pin'hui'jing'yao'xu'ji 本草品汇精要续集
'ben'cao'qiu'yuan 本草求原
'ben'cao'qiu'zhen 本草求真
'ben'cao'quan'du 本草权度
'ben'cao'san'jia'he'zhu 本草三家合注
'ben'cao'san'zhu 本草三注
'ben'cao'shi'jian 本草诗笺
'ben'cao'shi'lu 本草实录
'ben'cao'shi'yi 本草拾遗
'ben'cao'shu 本草述
'ben'cao'shu'gou'yuan 本草述钩元
'ben'cao'si'bian'lu 本草思辨录
'ben'cao'tong'xuan 本草通玄
'ben'cao'tu'jing 本草图经
'ben'cao'wan'fang'zhen'xian 本草万方针线
'ben'cao'wen'da 本草问答
'ben'cao'xuan 本草选
'ben'cao'yan'yi 本草衍义
'ben'cao'yi'fang'he'bian 本草医方合编
'ben'cao'yin'shi'pu 本草饮食谱
'ben'cao'yong'fa'yan'jiu 本草用法研究
'ben'cao'yuan'shi 本草原始
'ben'cao'yun'yu 本草韵语
'ben'cao'zheng 本草正
'ben'cao'zheng'yao 本草征要
'ben'cao'zheng'yi 本草正义
'ben'chi 本池
'ben'er'biao'zhi 本而标之
'ben'jie 本节
'ben'jing 本经
'ben'jing'bian'du 本经便读
'ben'jing'feng'yuan 本经逢原
'ben'jing'shu'zheng 本经疏证
'ben'jing'xu'shu 本经续疏
'ben'jing'xu'shu'yao 本经序疏要
'ben'jing'xuan'xue'fa 本经选穴法
'ben'mo 本末
'ben'shen 本神
'ben'shi'bie'jia'wan 本事鳖甲丸
'ben'shi'fang 本事方
'ben'shi'fang'shi'yi 本事方释义
'ben'shi'fang'xu'ji 本事方续集
'ben'shu 本输
'ben'tun 奔豚
'ben'tun'qi 奔豚气
'ben'wei 本味
'ben'xin'zhai'shu'shi'pu 本心斋疏食谱
'ben'xu'biao'shi 本虚标实
'ben'yao 本药
'ben'yuan 本元
'ben'zang'zi'bing'jing 本脏自病痉
'beng'lou'bing 崩漏病
'bi'ba 荜拔
'bi'ba 荜茇
'bi'bing 痹病
'bi'bing 闭病
'bi'cheng'qie 荜澄茄
'bi'ding'bing 鼻疔病
'bi'gan'bing 鼻疳病
'bi'gao'bing 鼻槁病
'bi'guan'xuan 笔管癣
'bi'han 鼻鼾
'bi'hu 壁虎
'bi'hua'yi'jing 笔花医镜
'bi'jing'bing 闭经病
'bi'liang'nei'xian'xue'mai'sun'shang'zheng 鼻梁内陷血脉损伤证
'bi'ma'you 蓖麻油
'bi'ma'zi 蓖麻子
